nummer,heizlast_kW,vorlauf_C,uebergabe,norm_AT_C,warmwasser_ueber_wp,personen,marke,baureihe,fremd_werkzeug,fremd_modell,fremd_anzahl,fremd_leistung_kW,fremd_leistungsanteil,herowerk_modell,herowerk_anzahl,herowerk_leistung_kW,herowerk_leistungsanteil,deckung,abweichungsart
A14,11,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-10,1,8.9,80.6,nein,nur_herowerk
A14,11,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM plus 8.1,vaillant_schnellauslegung,VWL 105/8.1 A,1,10.2,93,Vaillant VWL 105/8.1 A,1,10.2,93,ja,gleich
A15,13,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-16/20,1,15,115.4,nein,nur_herowerk
A15,13,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM plus 8.1,vaillant_schnellauslegung,VWL 105/8.1 A,1,10.2,78.7,Vaillant VWL 105/8.1 A,1,10.2,78.7,ja,gleich
A16,15,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-16/20,1,15,100,nein,nur_herowerk
A16,15,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM pro 7.1,vaillant_schnellauslegung,VWL 115/7.1 A,1,11.5,76.5,Vaillant VWL 115/7.1 A,1,11.5,76.5,ja,gleich
A17,17,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-16/20,1,15,88.3,nein,nur_herowerk
A17,17,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM pro 7.1,vaillant_schnellauslegung,2× VWL 75/7.1 A,2,13.1,77,2× Vaillant VWL 75/7.1 A (Kaskade),2,13.1,77,ja,gleich
A18,20,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-16/20,1,15,75,nein,nur_herowerk
A18,20,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM plus 8.1,vaillant_schnellauslegung,2× VWL 75/8.1 A,2,14.6,72.8,2× Vaillant VWL 75/8.1 A (Kaskade),2,14.6,72.8,ja,gleich
A19,23,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-20/24,1,18.8,81.6,nein,nur_herowerk
A19,23,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM perform 8.1,vaillant_schnellauslegung,VWL 205/8.1 A S2 Q,1,16.3,71.1,Vaillant VWL 205/8.1 A S2 Q,1,16.3,71.1,ja,gleich
A20,26,35,Flächenheizung,-11.1,nein,0,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-20/24,1,18.8,72.2,nein,nur_herowerk
A20,26,35,Flächenheizung,-11.1,nein,0,Vaillant,aroTHERM plus 8.1,vaillant_schnellauslegung,2× VWL 105/8.1 A,2,20.5,78.7,2× Vaillant VWL 105/8.1 A (Kaskade),2,20.5,78.7,ja,gleich
A21,9,55,Heizkörper,-11.1,ja,4,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-10,1,7.8,86.2,nein,nur_herowerk
A21,9,55,Heizkörper,-11.1,ja,4,Vaillant,aroTHERM plus 8.1,vaillant_schnellauslegung,VWL 75/8.1 A,1,6.6,73.9,Vaillant VWL 75/8.1 A,1,6.6,73.9,ja,gleich
A22,15,55,Heizkörper,-11.1,ja,4,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-16/20,1,14.1,94,nein,nur_herowerk
A22,15,55,Heizkörper,-11.1,ja,4,Vaillant,aroTHERM plus 8.1,vaillant_schnellauslegung,VWL 125/8.1 A,1,11.1,73.9,Vaillant VWL 125/8.1 A,1,11.1,73.9,ja,gleich
A23,23,55,Heizkörper,-11.1,ja,4,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-20/24,1,17.8,77.6,nein,nur_herowerk
A23,23,55,Heizkörper,-11.1,ja,4,Vaillant,aroTHERM perform 8.1,vaillant_schnellauslegung,VWL 205/8.1 A S2 Q,1,18.6,81,Vaillant VWL 205/8.1 A S2 Q,1,18.8,81.7,ja,gleich
A24,9,35,Flächenheizung,-11.1,ja,4,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-07,1,6.3,70.1,nein,nur_herowerk
A24,9,35,Flächenheizung,-11.1,ja,4,Vaillant,aroTHERM pro 7.1,vaillant_schnellauslegung,VWL 75/7.1 A,1,6.5,72.7,Vaillant VWL 75/7.1 A,1,6.5,72.7,ja,gleich
A25,15,35,Flächenheizung,-11.1,ja,4,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-16/20,1,15,100,nein,nur_herowerk
A25,15,35,Flächenheizung,-11.1,ja,4,Vaillant,aroTHERM pro 7.1,vaillant_schnellauslegung,VWL 115/7.1 A,1,11.5,76.5,Vaillant VWL 115/7.1 A,1,11.5,76.5,ja,gleich
A26,23,35,Flächenheizung,-11.1,ja,4,Wolf,Wolf CHA,kein_fremdvergleich,,,,,Wolf CHA-20/24,1,18.8,81.6,nein,nur_herowerk
A26,23,35,Flächenheizung,-11.1,ja,4,Vaillant,aroTHERM perform 8.1,vaillant_schnellauslegung,VWL 205/8.1 A S2 Q,1,16.3,71.1,Vaillant VWL 205/8.1 A S2 Q,1,16.3,71.1,ja,gleich
